City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
192,kuanda,56.3161,116.0806,-8.65,72,48,0.66,RU,1682356412
193,singkawang,0.9,109.0,24.38,94,90,1.6,ID,1682356810
194,yanchep,-31.55,115.6833,11.27,81,25,2.85,AU,1682356810
195,jamundi,3.2607,-76.535,26.98,58,47,1.26,CO,1682356810
196,port mathurin,-19.6833,63.4167,26.24,83,98,8.91,MU,1682356811
197,vorkuta,67.5,64.0,-8.61,97,92,4.43,RU,1682356812
198,la punta,-33.1837,-66.3127,17.99,62,80,1.76,AR,1682356352
199,menongue,-14.6585,17.691,22.72,56,83,1.36,AO,1682356813
200,san rafael,-34.6177,-68.3301,23.16,32,0,3.36,AR,1682356313
201,new plymouth,-39.0667,174.0833,7.4,65,49,1.13,NZ,1682356518
202,luderitz,-26.6481,15.1594,17.0,92,8,4.54,NA,1682356814
203,colac,-38.3333,143.5833,14.54,86,0,0.84,AU,1682356815
204,djambala,-2.5447,14.7533,24.86,69,90,2.0,CG,1682356815
205,gadzhiyevo,69.2551,33.3362,-3.61,75,35,3.84,RU,1682356816
206,kalmunai,7.4167,81.8167,28.09,77,78,3.47,LK,1682356406
207,bathsheba,13.2167,-59.5167,29.34,79,40,3.09,BB,1682356259
208,bardai,11.65,7.2333,33.62,23,100,2.1,NG,1682356677
209,kuta,-8.7233,115.1723,27.97,83,20,3.6,ID,1682356232
210,pisco,-13.7,-76.2167,27.03,61,0,4.63,PE,1682356818
211,ribas do rio pardo,-20.4431,-53.7592,26.4,68,66,3.1,BR,1682356818
212,howard springs,-12.497,131.047,26.95,84,24,2.37,AU,1682356383
213,pakokku,21.3333,95.1,32.11,37,19,2.29,MM,1682356819
214,yura,-16.2522,-71.6797,18.29,42,0,4.63,PE,1682356821
215,turpan,42.9333,89.1667,19.31,14,3,0.97,CN,1682356821
216,tabuk,17.4189,121.4443,22.39,87,7,1.67,PH,1682356297
217,aban,56.67,96.06,3.2,77,100,2.02,RU,1682356821
218,puerto colombia,10.9878,-74.9547,31.05,73,68,5.45,CO,1682356257
219,mejit,10.2753,170.8646,27.18,81,100,9.17,MH,1682356379
220,katsuren-haebaru,26.3369,127.8719,23.01,78,75,1.54,JP,1682356822
221,ulladulla,-35.35,150.4667,12.65,91,3,2.17,AU,1682356822
222,umea,63.8284,20.2597,2.96,44,0,4.12,SE,1682356823
223,bel ombre,-4.6167,55.4167,28.25,74,70,2.03,SC,1682356306
224,tucuma,-0.1833,-50.05,27.94,76,91,2.68,BR,1682356823
225,dawson creek,55.7666,-120.2362,2.15,96,100,0.92,CA,1682356350
226,st. john's,47.5649,-52.7093,5.44,92,100,10.28,CA,1682356822
227,dunedin,-45.8742,170.5036,13.93,10,100,7.86,NZ,1682356306
228,glendive,47.1053,-104.7125,12.79,30,0,10.29,US,1682356828
229,saipan,15.1355,145.701,27.39,100,75,6.69,MP,1682356828
230,kokopo,-4.352,152.2633,25.07,87,83,2.23,PG,1682356680
231,salinopolis,-0.6136,-47.3561,28.25,73,89,3.52,BR,1682356828
232,kodiak,57.79,-152.4072,1.73,44,0,5.14,US,1682356830
233,argo,37.6333,22.7333,19.88,66,59,0.56,GR,1682356240
234,chibougamau,49.9168,-74.3659,3.79,93,100,5.14,CA,1682356830
235,rockdale,33.6501,-84.0166,19.61,34,40,0.45,US,1682356830
236,palikir - national government center,6.9248,158.1611,27.56,77,94,6.87,FM,1682356831
237,porbandar,21.6422,69.6093,27.56,64,76,5.42,IN,1682356831
238,dudinka,69.4058,86.1778,2.57,77,90,8.14,RU,1682356663
239,sierra grande,-41.606,-65.3557,25.5,23,12,8.05,AR,1682356245
240,akjoujt,19.6969,-14.4164,37.74,11,45,3.05,MR,1682356832
241,san pedro,14.35,121.0167,27.57,71,75,1.03,PH,1682356833
242,horta,38.5333,-28.6333,18.8,87,20,6.26,PT,1682356703
243,gonzalez,30.5816,-87.2914,21.06,49,75,6.69,US,1682356833
244,san antonio de pale,-1.4014,5.6325,28.27,71,84,1.63,GQ,1682356692
245,coronel moldes,-33.6227,-64.5971,22.71,39,90,4.13,AR,1682356834
246,carnarvon,-24.8667,113.6333,20.02,66,70,8.54,AU,1682356255
247,kolonia town,6.964,158.206,28.14,77,96,7.08,FM,1682356834
248,champerico,14.3,-91.9167,33.3,57,53,4.64,GT,1682356834
249,gloucester point,37.254,-76.4969,15.62,51,100,2.57,US,1682356835
250,hasaki,35.7333,140.8333,10.12,48,100,5.58,JP,1682356835
251,ploudalmezeau,48.5333,-4.65,13.14,66,100,5.14,FR,1682356836
252,caleta de carquin,-11.0925,-77.6267,26.12,70,86,6.36,PE,1682356836
253,celestun,20.8667,-90.4,29.14,56,97,0.87,MX,1682356674
254,morehead city,34.7229,-76.726,19.0,76,75,7.2,US,1682356836
255,san juan del sur,11.2529,-85.8705,30.12,70,20,0.0,NI,1682356836
256,daru,-9.0763,143.2092,26.68,88,70,5.65,PG,1682356713
257,sao gabriel da cachoeira,-0.1303,-67.0892,21.75,100,100,0.53,BR,1682356338
258,yanykurgan,43.915,67.2481,19.36,27,0,6.37,KZ,1682356837
259,ghat,24.9647,10.1728,30.71,15,43,1.82,LY,1682356365
260,nantucket,41.2835,-70.0995,14.08,82,75,2.57,US,1682356379
261,mahina,-17.5065,-149.489,24.87,94,40,2.06,PF,1682356838
262,dawei,14.0833,98.2,26.32,84,15,0.79,MM,1682356838
263,stettler,52.3168,-112.7186,9.3,61,96,2.16,CA,1682356839
264,zaragoza,41.6561,-0.8773,25.57,33,20,7.15,ES,1682356795
265,ati,13.2154,18.3353,36.0,23,85,3.51,TD,1682356305
266,tiksi,71.6872,128.8694,-4.79,96,100,4.4,RU,1682356839
267,hanceville,34.0607,-86.7675,17.48,38,62,3.82,US,1682356306
268,yerofey pavlovich,53.9667,121.9667,-5.46,73,76,1.99,RU,1682356840
269,usogorsk,63.4106,48.6872,3.43,100,100,3.7,RU,1682356366
270,carutapera,-1.195,-46.02,28.78,74,98,2.91,BR,1682356840
271,saynshand,44.8824,110.1163,1.87,66,64,7.88,MN,1682356311
272,starodub,52.5844,32.7633,12.13,65,84,2.49,RU,1682356840
273,ebon,4.582,168.6964,27.47,81,100,5.57,MH,1682356840
274,durres,41.3231,19.4414,17.1,72,100,10.77,AL,1682356841
275,rusape,-18.5278,32.1284,16.87,69,97,2.92,ZW,1682356841
276,taroa,8.7058,171.2275,27.69,80,100,9.54,MH,1682356841
277,saint croix,17.7397,-64.7388,28.86,73,100,1.79,VI,1682356841
278,kharp,66.8014,65.8081,-6.29,88,43,4.85,RU,1682356841
279,vila do maio,15.1333,-23.2167,28.44,77,2,7.19,CV,1682356842
280,itoman,26.1247,127.6694,23.01,78,50,3.09,JP,1682356641
281,salalah,17.0151,54.0924,29.05,74,20,3.09,OM,1682356244
282,gamba,-2.65,10.0,27.37,75,16,2.55,GA,1682356311
283,al ghayzah,16.2079,52.176,28.9,70,44,5.14,YE,1682356842
284,saint-francois,46.4154,3.9054,14.69,56,0,3.6,FR,1682356300
285,punta arenas,-53.15,-70.9167,7.06,93,100,3.6,CL,1682356296
286,luganville,-15.5333,167.1667,25.69,85,91,3.08,VU,1682356843
287,george town,5.4112,100.3354,26.96,93,20,1.54,MY,1682356843
288,mabaruma,8.2,-59.7833,27.86,82,68,2.65,GY,1682356636
289,tralee,52.2704,-9.7026,11.14,50,0,4.63,IE,1682356708
290,rufino,-34.2683,-62.7126,23.47,44,100,3.16,AR,1682356844
291,conde,-7.2597,-34.9075,28.7,74,40,4.63,BR,1682356844
292,mkuranga,-7.118,39.2078,24.28,90,100,2.14,TZ,1682356844
293,cesky brod,50.0742,14.8608,14.63,65,100,6.48,CZ,1682356844
294,babor - ville,36.4899,5.5393,23.56,55,26,2.9,DZ,1682356844
295,serenje,-13.2325,30.2352,15.36,79,17,1.4,ZM,1682356845
296,mbala,-8.8402,31.3659,16.6,93,97,1.95,ZM,1682356690
297,bonthe,7.5264,-12.505,30.24,69,69,4.91,SL,1682356404
298,charlottetown,46.2352,-63.1267,8.76,86,75,2.57,CA,1682356113
299,rio preto da eva,-2.6994,-59.6997,32.74,48,94,2.05,BR,1682356845
300,fort mcmurray,56.7268,-111.381,6.77,56,100,2.57,CA,1682356845
301,la'ie,21.6477,-157.9253,23.98,87,24,0.35,US,1682356688
302,boerne,29.7947,-98.732,16.75,77,100,3.6,US,1682356846
303,saint-pierre,-21.3393,55.4781,26.82,78,0,1.03,RE,1682356705
304,suva,-18.1416,178.4415,21.71,94,20,0.0,FJ,1682356846
305,labytnangi,66.6572,66.4183,-5.94,83,19,6.72,RU,1682356846
306,roma,43.2128,-75.4557,10.96,71,100,4.47,US,1682356565
307,morondava,-20.2833,44.2833,25.54,79,0,5.8,MG,1682356847
308,livingston,55.9029,-3.5226,9.33,57,0,4.63,GB,1682356656
309,sikasso,10.9167,-7.0,39.84,13,3,1.8,ML,1682356704
310,imbituba,-28.24,-48.6703,26.03,66,21,4.58,BR,1682356847
311,labuan,5.2767,115.2417,27.2,83,20,0.0,MY,1682356847
312,tilcara,-23.5776,-65.3509,11.81,39,29,1.16,AR,1682356847
313,kununurra,-15.7667,128.7333,20.99,88,7,0.51,AU,1682356847
314,tindouf,27.6711,-8.1474,35.79,8,9,2.78,DZ,1682356847
315,acajutla,13.5928,-89.8275,30.33,62,90,3.54,SV,1682356372
316,aberglasslyn,-32.7,151.5333,18.12,96,7,0.8,AU,1682356848
317,kapsan-up,41.0903,128.2933,2.37,61,90,1.34,KP,1682356848
318,lata,40.1629,-8.3327,23.29,55,80,4.69,PT,1682356249
319,terenozek,45.05,64.9833,18.52,32,0,5.26,KZ,1682356848
320,weno,7.4515,151.8468,25.97,100,100,2.06,FM,1682356849
